start,duration,depth,peak,end,td.max.hf,td.min.hf,td.mean.hf
1901-01-11 07:00:00,25,1.12,0.09,1901-01-12 08:00:00,2.044,-3.054,-0.4975
1901-01-24 21:00:00,19,0.48,0.06,1901-01-25 16:00:00,2.644,-3.054,-0.4252
1901-01-30 09:00:00,11,0.28,0.03,1901-01-30 20:00:00,1.644,-3.356,-0.772
1901-02-03 18:00:00,17,0.77,0.18,1901-02-04 11:00:00,1.243,-3.757,-1.55572222222222
1901-02-09 08:00:00,6,0.12,0.04,1901-02-09 14:00:00,-0.955,-3.556,-2.41242857142857
1901-03-04 17:00:00,9,0.1,0.05,1901-03-05 02:00:00,1.043,-3.655,-1.4754
1901-03-09 08:00:00,12,0.25,0.05,1901-03-09 20:00:00,0.545,-3.655,-1.45515384615385
1901-03-10 20:00:00,14,1.33,0.37,1901-03-11 10:00:00,2.946,-2.556,0.1648
1901-03-20 17:00:00,17,1.19,0.2,1901-03-21 10:00:00,3.245,-3.255,-0.233388888888889
1901-03-25 18:00:00,8,0.11,0.05,1901-03-26 02:00:00,1.844,-2.956,-0.778
1901-03-26 13:00:00,10,0.19,0.07,1901-03-26 23:00:00,2.546,-2.556,0.308363636363636
1901-04-02 22:00:00,33,1.83,0.27,1901-04-04 07:00:00,4.544,-2.054,1.27111764705882
1901-04-06 05:00:00,14,0.41,0.1,1901-04-06 19:00:00,2.746,-2.054,0.4914
1901-04-15 15:00:00,10,0.13,0.03,1901-04-16 01:00:00,2.146,-3.054,-0.373545454545455
1901-04-20 08:00:00,22,0.87,0.23,1901-04-21 06:00:00,3.845,-2.556,0.653391304347826
1901-04-24 01:00:00,27,1.2,0.22,1901-04-25 04:00:00,3.543,-2.156,0.494321428571429
1901-04-25 10:00:00,5,0.1,0.04,1901-04-25 15:00:00,1.145,-2.054,-0.538166666666667
1901-05-03 00:00:00,3,0.21,0.12,1901-05-03 03:00:00,2.946,1.644,2.3705
1901-05-09 04:00:00,7,0.36,0.15,1901-05-09 11:00:00,2.946,-1.555,0.982125
1901-05-10 02:00:00,17,1.31,0.47,1901-05-10 19:00:00,2.746,-2.356,0.383833333333333
1901-05-11 15:00:00,7,0.39,0.24,1901-05-11 22:00:00,2.346,-2.254,0.782125
1901-05-13 02:00:00,3,0.11,0.06,1901-05-13 05:00:00,-0.856,-2.054,-1.3805
1901-05-18 04:00:00,3,0.2,0.14,1901-05-18 07:00:00,1.345,-1.056,0.1445
1901-05-22 19:00:00,3,0.14,0.09,1901-05-22 22:00:00,1.644,-0.554,0.54475
1901-05-24 22:00:00,5,0.2,0.09,1901-05-25 03:00:00,0.144,-2.756,-1.47216666666667
1901-05-26 14:00:00,15,0.24,0.09,1901-05-27 05:00:00,2.546,-2.556,-0.2616875
1901-05-27 12:00:00,5,0.23,0.08,1901-05-27 17:00:00,0.344,-2.654,-1.355
1901-05-29 07:00:00,16,0.36,0.15,1901-05-29 23:00:00,3.445,-2.254,0.674058823529412
1901-05-31 09:00:00,5,0.13,0.05,1901-05-31 14:00:00,2.946,-0.456,1.81216666666667
1901-06-07 12:00:00,5,0.47,0.32,1901-06-07 17:00:00,1.745,-2.556,-0.421666666666667
1901-06-15 05:00:00,10,0.27,0.09,1901-06-15 15:00:00,2.244,-3.255,-0.319181818181818
1901-06-21 13:00:00,9,0.24,0.12,1901-06-21 22:00:00,2.244,-3.156,0.1543
1901-07-04 14:00:00,8,1.02,0.54,1901-07-04 22:00:00,1.946,-3.054,-0.255111111111111
1901-07-06 19:00:00,4,0.57,0.36,1901-07-06 23:00:00,1.043,-2.254,-0.6156
1901-07-07 21:00:00,3,0.46,0.37,1901-07-08 00:00:00,0.046,-2.254,-1.08025
1901-07-11 19:00:00,4,0.23,0.12,1901-07-11 23:00:00,3.045,0.446,2.0852
1901-07-13 14:00:00,12,0.24,0.09,1901-07-14 02:00:00,3.045,-3.255,-0.0320769230769231
1901-07-14 13:00:00,2,0.15,0.11,1901-07-14 15:00:00,2.044,0.144,1.077
1901-07-17 19:00:00,5,0.63,0.24,1901-07-18 00:00:00,-0.354,-3.757,-1.98883333333333
1901-07-25 20:00:00,3,0.88,0.38,1901-07-25 23:00:00,2.644,1.844,2.2695
1901-08-06 07:00:00,26,0.6,0.08,1901-08-07 09:00:00,2.946,-3.356,0.200259259259259
1901-08-07 16:00:00,1,0.13,0.13,1901-08-07 17:00:00,0.945,-0.354,0.2955
1901-08-12 07:00:00,14,1.12,0.28,1901-08-12 21:00:00,1.946,-3.255,-0.9018
1901-08-15 04:00:00,17,0.98,0.36,1901-08-15 21:00:00,2.346,-3.156,-0.355111111111111
1901-08-18 05:00:00,40,4.71,0.81,1901-08-19 21:00:00,3.543,-3.556,-0.0016829268292683
1901-08-23 10:00:00,3,0.55,0.41,1901-08-23 13:00:00,0.745,-1.257,-0.255
1901-08-24 09:00:00,6,1.21,0.45,1901-08-24 15:00:00,2.044,-1.657,0.158571428571429
1901-09-01 01:00:00,5,0.47,0.35,1901-09-01 06:00:00,3.343,0.945,2.228
1901-09-02 00:00:00,4,0.2,0.1,1901-09-02 04:00:00,3.245,-1.056,1.504
1901-09-03 16:00:00,2,0.22,0.19,1901-09-03 18:00:00,3.245,2.644,2.911
1901-09-11 00:00:00,7,0.28,0.16,1901-09-11 07:00:00,2.946,-2.254,0.4825
1901-09-11 17:00:00,5,1.05,0.68,1901-09-11 22:00:00,0.144,-2.854,-1.489
1901-09-15 18:00:00,2,0.51,0.42,1901-09-15 20:00:00,0.843,-0.656,0.110333333333333
1901-09-17 05:00:00,14,0.33,0.1,1901-09-17 19:00:00,2.746,-2.556,0.271266666666667
1901-09-18 10:00:00,10,0.25,0.05,1901-09-18 20:00:00,2.546,-2.854,0.0996363636363636
1901-09-28 21:00:00,13,0.31,0.11,1901-09-29 10:00:00,3.343,-2.654,0.122714285714286
1901-10-02 21:00:00,5,0.37,0.32,1901-10-03 02:00:00,0.246,-2.356,-1.138
1901-10-13 03:00:00,44,1.09,0.14,1901-10-14 23:00:00,3.045,-3.156,-0.0486444444444445
1901-11-12 13:00:00,4,0.11,0.05,1901-11-12 17:00:00,2.244,0.446,1.4644
1901-11-23 15:00:00,29,2.4,0.44,1901-11-24 20:00:00,4.344,-2.956,0.537833333333333
1901-12-03 08:00:00,15,0.87,0.19,1901-12-03 23:00:00,1.043,-3.455,-0.7740625
1901-12-10 01:00:00,6,0.18,0.06,1901-12-10 07:00:00,1.745,-1.657,0.230571428571429
1901-12-14 22:00:00,9,1.13,0.39,1901-12-15 07:00:00,3.143,-1.155,1.2348
1901-12-17 09:00:00,10,0.13,0.03,1901-12-17 19:00:00,3.543,-0.656,1.46281818181818
1901-12-23 19:00:00,9,0.13,0.04,1901-12-24 04:00:00,1.844,-3.455,-0.4557
1901-12-26 16:00:00,16,0.89,0.12,1901-12-27 08:00:00,2.146,-3.255,-0.390941176470588
1901-12-28 21:00:00,38,3.26,0.34,1901-12-30 11:00:00,4.045,-3.054,0.870102564102564
1902-01-03 03:00:00,5,0.1,0.03,1902-01-03 08:00:00,0.446,-3.455,-1.83833333333333
1902-01-08 07:00:00,11,0.2,0.04,1902-01-08 18:00:00,3.245,-2.556,0.577666666666667
1902-01-19 03:00:00,2,0.1,0.05,1902-01-19 05:00:00,-2.454,-3.255,-2.78766666666667
1902-01-21 16:00:00,18,1.06,0.18,1902-01-22 10:00:00,3.543,-2.254,0.823421052631579
1902-01-26 14:00:00,25,0.58,0.07,1902-01-27 15:00:00,2.844,-2.654,0.179153846153846
1902-01-30 00:00:00,1,0.19,0.19,1902-01-30 01:00:00,-3.356,-4.055,-3.7055
1902-01-30 14:00:00,1,0.26,0.26,1902-01-30 15:00:00,-2.356,-3.757,-3.0565
1902-01-31 19:00:00,1,0.15,0.15,1902-01-31 20:00:00,1.043,1.043,1.043
1902-02-01 16:00:00,24,0.44,0.08,1902-02-02 16:00:00,2.644,-2.356,0.13632
1902-02-16 23:00:00,19,1.1,0.1,1902-02-17 18:00:00,1.243,-2.956,-0.94055
1902-02-21 03:00:00,22,1.69,0.16,1902-02-22 01:00:00,1.243,-3.757,-1.32569565217391
1902-02-22 10:00:00,13,0.32,0.07,1902-02-22 23:00:00,2.844,-1.355,0.601857142857143
1902-02-25 12:00:00,16,0.43,0.08,1902-02-26 04:00:00,3.245,-2.254,0.350411764705882
1902-02-28 08:00:00,9,1.4,1.11,1902-02-28 17:00:00,4.446,-0.256,1.705
1902-03-02 04:00:00,8,0.38,0.12,1902-03-02 12:00:00,4.045,1.644,2.93344444444444
1902-03-04 23:00:00,25,1.24,0.1,1902-03-06 00:00:00,3.143,-2.254,0.513538461538461
1902-03-08 16:00:00,17,0.41,0.06,1902-03-09 09:00:00,2.546,-2.956,-0.588888888888889
1902-03-16 19:00:00,15,0.48,0.23,1902-03-17 10:00:00,3.245,-1.155,1.3883125
1902-03-28 08:00:00,10,0.23,0.05,1902-03-28 18:00:00,2.044,-2.556,-0.0916363636363636
1902-03-29 00:00:00,17,0.73,0.19,1902-03-29 17:00:00,2.946,-2.454,0.778333333333333
1902-03-30 17:00:00,2,0.11,0.07,1902-03-30 19:00:00,2.444,2.044,2.244
1902-04-06 14:00:00,7,0.2,0.05,1902-04-06 21:00:00,1.444,-1.755,-0.143125
1902-04-08 03:00:00,16,1.46,0.22,1902-04-08 19:00:00,3.245,-2.854,0.526647058823529
1902-04-29 03:00:00,27,1.4,0.3,1902-04-30 06:00:00,2.644,-2.356,0.20875
1902-05-03 00:00:00,2,0.13,0.11,1902-05-03 02:00:00,0.843,-0.656,0.110333333333333
1902-05-20 07:00:00,3,0.32,0.16,1902-05-20 10:00:00,0.046,-3.054,-1.77975
1902-05-25 15:00:00,7,0.41,0.34,1902-05-25 22:00:00,1.844,-2.854,-0.330625
1902-05-26 21:00:00,17,1.14,0.17,1902-05-27 14:00:00,2.444,-3.255,-0.822055555555556
1902-06-07 13:00:00,7,0.11,0.08,1902-06-07 20:00:00,2.346,-2.156,0.40725
1902-06-16 18:00:00,6,0.33,0.13,1902-06-17 00:00:00,2.644,-2.254,0.959428571428571
1902-06-19 08:00:00,3,0.5,0.47,1902-06-19 11:00:00,0.745,-3.156,-1.1555
1902-06-21 05:00:00,11,1.43,0.48,1902-06-21 16:00:00,2.644,-2.356,0.1695
1902-06-25 21:00:00,6,1.97,1.03,1902-06-26 03:00:00,2.444,-1.755,-0.197714285714286
1902-06-29 08:00:00,9,1.26,0.3,1902-06-29 17:00:00,1.946,-2.956,-0.7054
1902-06-30 17:00:00,13,0.42,0.21,1902-07-01 06:00:00,3.543,-1.857,0.823285714285714
1902-07-03 12:00:00,7,0.81,0.59,1902-07-03 19:00:00,2.546,-2.956,-0.367875
1902-07-17 08:00:00,4,0.14,0.07,1902-07-17 12:00:00,1.644,-1.457,0.4638
1902-07-21 02:00:00,2,0.1,0.06,1902-07-21 04:00:00,2.946,1.145,2.11166666666667
1902-07-21 20:00:00,3,0.44,0.43,1902-07-21 23:00:00,-0.554,-2.956,-2.0545
1902-07-25 08:00:00,8,1.35,0.94,1902-07-25 16:00:00,2.844,-2.356,-0.122111111111111
1902-07-30 12:00:00,5,0.4,0.16,1902-07-30 17:00:00,0.046,-2.756,-1.47216666666667
1902-08-06 02:00:00,3,0.37,0.35,1902-08-06 05:00:00,3.845,2.346,3.21925
1902-08-06 16:00:00,4,0.47,0.43,1902-08-06 20:00:00,3.143,-0.554,1.2448
1902-08-10 09:00:00,14,1.14,0.32,1902-08-10 23:00:00,3.245,-2.756,0.371533333333333
1902-08-11 18:00:00,1,0.2,0.2,1902-08-11 19:00:00,2.644,1.844,2.244
1902-09-04 14:00:00,1,0.34,0.34,1902-09-04 15:00:00,2.946,2.244,2.595
1902-09-07 07:00:00,4,0.16,0.1,1902-09-07 11:00:00,0.643,-2.356,-0.8958
1902-09-09 06:00:00,16,0.89,0.21,1902-09-09 22:00:00,3.045,-1.755,0.892
1902-09-22 01:00:00,8,0.2,0.06,1902-09-22 09:00:00,2.644,-0.955,0.833555555555556
1902-09-24 23:00:00,7,0.25,0.15,1902-09-25 06:00:00,1.145,-2.854,-1.129875
1902-09-25 13:00:00,31,2.74,0.34,1902-09-26 20:00:00,3.343,-2.254,0.38515625
1902-09-30 20:00:00,17,1.86,0.54,1902-10-01 13:00:00,5.046,-0.755,2.36127777777778
1902-10-04 14:00:00,36,1.93,0.48,1902-10-06 02:00:00,4.045,-1.857,1.41232432432432
1902-10-11 11:00:00,23,1.53,0.28,1902-10-12 10:00:00,2.746,-2.254,0.128
1902-10-17 09:00:00,2,0.11,0.09,1902-10-17 11:00:00,0.745,-2.956,-0.988666666666667
1902-10-27 21:00:00,12,1.3,0.49,1902-10-28 09:00:00,3.045,-2.356,0.414076923076923
1902-11-06 21:00:00,9,0.23,0.07,1902-11-07 06:00:00,1.745,-2.556,-0.5151
1902-11-24 18:00:00,50,1.19,0.09,1902-11-26 20:00:00,3.645,-3.757,-0.253549019607843
1902-11-30 12:00:00,13,0.56,0.1,1902-12-01 01:00:00,2.044,-3.356,-0.505428571428571
1902-12-02 20:00:00,7,0.94,0.27,1902-12-03 03:00:00,1.844,-2.956,-0.955625
1902-12-04 22:00:00,17,0.68,0.05,1902-12-05 15:00:00,1.444,-2.756,-0.822055555555556
1902-12-11 18:00:00,5,0.12,0.06,1902-12-11 23:00:00,0.945,-4.157,-0.989333333333333
1902-12-12 18:00:00,33,0.72,0.04,1902-12-14 03:00:00,3.045,-2.956,0.221088235294118
1902-12-15 21:00:00,31,1.27,0.07,1902-12-17 04:00:00,3.743,-2.756,0.616125
1902-12-21 01:00:00,25,2.03,0.53,1902-12-22 02:00:00,3.445,-2.756,0.709846153846154
1902-12-25 02:00:00,7,0.22,0.04,1902-12-25 09:00:00,3.143,-1.257,0.419
1902-12-29 11:00:00,10,0.45,0.1,1902-12-29 21:00:00,2.844,-2.454,0.508090909090909
1903-01-02 19:00:00,18,1.17,0.29,1903-01-03 13:00:00,2.244,-3.156,-0.513210526315789
1903-01-06 01:00:00,10,0.17,0.04,1903-01-06 11:00:00,NA,NA,NA
1903-01-11 13:00:00,6,0.72,0.28,1903-01-11 19:00:00,NA,NA,NA
1903-01-20 22:00:00,11,0.51,0.13,1903-01-21 09:00:00,NA,NA,NA
1903-01-24 19:00:00,19,0.36,0.03,1903-01-25 14:00:00,NA,NA,NA
1903-01-28 00:00:00,9,0.52,0.12,1903-01-28 09:00:00,NA,NA,NA
1903-02-01 09:00:00,6,0.14,0.04,1903-02-01 15:00:00,NA,NA,NA
1903-02-04 02:00:00,7,0.79,0.24,1903-02-04 09:00:00,NA,NA,NA
1903-02-04 18:00:00,2,0.12,0.11,1903-02-04 20:00:00,NA,NA,NA
1903-02-08 07:00:00,8,0.46,0.19,1903-02-08 15:00:00,NA,NA,NA
1903-02-11 09:00:00,14,0.5,0.16,1903-02-11 23:00:00,NA,NA,NA
1903-02-15 05:00:00,16,0.49,0.09,1903-02-15 21:00:00,NA,NA,NA
1903-02-16 09:00:00,21,0.67,0.13,1903-02-17 06:00:00,NA,NA,NA
1903-02-27 18:00:00,20,0.8,0.19,1903-02-28 14:00:00,NA,NA,NA
1903-03-07 13:00:00,42,1.38,0.32,1903-03-09 07:00:00,NA,NA,NA
1903-03-11 02:00:00,9,0.24,0.11,1903-03-11 11:00:00,NA,NA,NA
1903-03-21 11:00:00,25,1.05,0.2,1903-03-22 12:00:00,NA,NA,NA
1903-03-22 19:00:00,26,0.94,0.25,1903-03-23 21:00:00,NA,NA,NA
1903-03-30 10:00:00,11,0.68,0.16,1903-03-30 21:00:00,NA,NA,NA
1903-04-04 03:00:00,9,0.41,0.07,1903-04-04 12:00:00,NA,NA,NA
1903-04-07 02:00:00,13,0.33,0.09,1903-04-07 15:00:00,NA,NA,NA
1903-04-08 01:00:00,19,0.68,0.1,1903-04-08 20:00:00,NA,NA,NA
1903-04-09 18:00:00,3,0.1,0.08,1903-04-09 21:00:00,NA,NA,NA
1903-04-11 17:00:00,13,0.12,0.04,1903-04-12 06:00:00,NA,NA,NA
1903-04-14 02:00:00,48,1.29,0.19,1903-04-16 02:00:00,NA,NA,NA
1903-05-03 20:00:00,8,0.37,0.28,1903-05-04 04:00:00,NA,NA,NA
1903-05-28 07:00:00,1,0.11,0.11,1903-05-28 08:00:00,NA,NA,NA
1903-05-29 18:00:00,5,0.25,0.14,1903-05-29 23:00:00,NA,NA,NA
1903-06-06 23:00:00,15,0.36,0.12,1903-06-07 14:00:00,NA,NA,NA
1903-06-08 00:00:00,2,0.16,0.15,1903-06-08 02:00:00,NA,NA,NA
1903-06-08 12:00:00,8,0.3,0.15,1903-06-08 20:00:00,NA,NA,NA
1903-06-10 11:00:00,8,2.08,1.78,1903-06-10 19:00:00,NA,NA,NA
1903-06-14 05:00:00,15,0.64,0.23,1903-06-14 20:00:00,NA,NA,NA
1903-06-20 10:00:00,5,0.85,0.34,1903-06-20 15:00:00,NA,NA,NA
1903-06-23 05:00:00,22,0.71,0.15,1903-06-24 03:00:00,NA,NA,NA
1903-06-29 03:00:00,3,0.18,0.15,1903-06-29 06:00:00,NA,NA,NA
1903-07-03 18:00:00,3,0.61,0.5,1903-07-03 21:00:00,NA,NA,NA
1903-07-11 15:00:00,2,0.61,0.52,1903-07-11 17:00:00,NA,NA,NA
1903-07-12 14:00:00,10,0.15,0.05,1903-07-13 00:00:00,NA,NA,NA
1903-07-14 18:00:00,2,0.16,0.12,1903-07-14 20:00:00,NA,NA,NA
1903-07-18 09:00:00,11,1.51,0.8,1903-07-18 20:00:00,NA,NA,NA
1903-07-20 20:00:00,4,0.2,0.14,1903-07-21 00:00:00,NA,NA,NA
1903-07-29 20:00:00,3,0.44,0.37,1903-07-29 23:00:00,NA,NA,NA
1903-08-04 16:00:00,7,0.98,0.32,1903-08-04 23:00:00,NA,NA,NA
1903-08-06 20:00:00,7,0.4,0.26,1903-08-07 03:00:00,NA,NA,NA
1903-08-09 07:00:00,2,0.27,0.26,1903-08-09 09:00:00,NA,NA,NA
1903-08-11 10:00:00,5,0.36,0.23,1903-08-11 15:00:00,NA,NA,NA
1903-08-14 00:00:00,13,0.92,0.35,1903-08-14 13:00:00,NA,NA,NA
1903-08-20 03:00:00,3,0.15,0.14,1903-08-20 06:00:00,NA,NA,NA
1903-08-25 23:00:00,2,0.17,0.16,1903-08-26 01:00:00,NA,NA,NA
1903-08-27 20:00:00,20,1.9,0.38,1903-08-28 16:00:00,NA,NA,NA
1903-08-28 22:00:00,2,0.26,0.22,1903-08-29 00:00:00,NA,NA,NA
1903-09-05 17:00:00,4,0.8,0.57,1903-09-05 21:00:00,NA,NA,NA
1903-09-08 05:00:00,16,0.21,0.06,1903-09-08 21:00:00,NA,NA,NA
1903-09-16 06:00:00,7,0.41,0.11,1903-09-16 13:00:00,NA,NA,NA
1903-09-17 11:00:00,8,0.52,0.34,1903-09-17 19:00:00,NA,NA,NA
1903-09-27 17:00:00,3,0.36,0.19,1903-09-27 20:00:00,NA,NA,NA
1903-10-08 10:00:00,39,3.14,0.38,1903-10-10 01:00:00,NA,NA,NA
1903-10-10 22:00:00,3,0.11,0.06,1903-10-11 01:00:00,NA,NA,NA
1903-10-17 08:00:00,18,0.55,0.08,1903-10-18 02:00:00,NA,NA,NA
1903-11-05 03:00:00,5,0.36,0.16,1903-11-05 08:00:00,NA,NA,NA
1903-11-16 06:00:00,5,0.21,0.15,1903-11-16 11:00:00,NA,NA,NA
1903-11-17 05:00:00,14,0.35,0.11,1903-11-17 19:00:00,NA,NA,NA
1903-12-03 10:00:00,1,0.3,0.3,1903-12-03 11:00:00,NA,NA,NA
1903-12-09 20:00:00,1,0.81,0.81,1903-12-09 21:00:00,NA,NA,NA
1903-12-13 05:00:00,7,0.65,0.25,1903-12-13 12:00:00,NA,NA,NA
1903-12-20 01:00:00,16,1.18,0.14,1903-12-20 17:00:00,NA,NA,NA
1903-12-25 09:00:00,6,0.23,0.07,1903-12-25 15:00:00,NA,NA,NA
1904-01-02 22:00:00,1,0.61,0.61,1904-01-02 23:00:00,0.144,-1.257,-0.5565
1904-01-08 16:00:00,1,0.16,0.16,1904-01-08 17:00:00,1.545,0.545,1.045
1904-01-13 10:00:00,6,0.6,0.14,1904-01-13 16:00:00,2.546,-0.554,1.18828571428571
1904-01-22 14:00:00,6,0.31,0.11,1904-01-22 20:00:00,2.146,0.046,1.21628571428571
1904-01-23 06:00:00,6,0.25,0.1,1904-01-23 12:00:00,2.346,-0.755,0.816428571428571
1904-01-26 13:00:00,6,0.45,0.16,1904-01-26 19:00:00,1.545,-2.854,-1.01228571428571
1904-01-30 02:00:00,1,0.63,0.63,1904-01-30 03:00:00,-0.056,-0.656,-0.356
1904-02-19 19:00:00,1,0.46,0.46,1904-02-19 20:00:00,-0.656,-1.257,-0.9565
1904-02-22 09:00:00,3,0.11,0.08,1904-02-22 12:00:00,0.643,-0.856,-0.10575
1904-02-28 20:00:00,1,0.31,0.31,1904-02-28 21:00:00,-0.554,-1.457,-1.0055
1904-02-29 07:00:00,4,0.1,0.04,1904-02-29 11:00:00,1.345,-2.854,-0.7554
1904-02-29 20:00:00,15,0.18,0.06,1904-03-01 11:00:00,2.244,-2.654,-0.3116875
1904-03-07 09:00:00,16,1.07,0.17,1904-03-08 01:00:00,3.045,-1.857,0.521411764705882
1904-03-11 06:00:00,17,0.36,0.08,1904-03-11 23:00:00,2.444,-2.556,0.0446111111111111
1904-03-15 11:00:00,1,0.27,0.27,1904-03-15 12:00:00,1.644,0.643,1.1435
1904-03-18 09:00:00,2,0.21,0.15,1904-03-18 11:00:00,-1.755,-3.255,-2.62133333333333
1904-03-21 15:00:00,6,0.13,0.03,1904-03-21 21:00:00,1.243,-1.755,0.0304285714285715
1904-03-31 03:00:00,21,0.82,0.16,1904-04-01 00:00:00,2.746,-3.156,-0.327681818181818
1904-04-01 11:00:00,8,0.23,0.12,1904-04-01 19:00:00,3.045,-1.257,1.17788888888889
1904-04-07 01:00:00,5,0.13,0.06,1904-04-07 06:00:00,2.146,-2.654,-0.455
1904-04-08 19:00:00,6,0.33,0.11,1904-04-09 01:00:00,1.644,-1.056,0.572714285714286
1904-04-09 15:00:00,2,0.25,0.24,1904-04-09 17:00:00,-1.555,-2.254,-1.98833333333333
1904-04-12 04:00:00,3,0.1,0.08,1904-04-12 07:00:00,-1.056,-2.556,-1.88075
1904-04-26 19:00:00,18,0.64,0.18,1904-04-27 13:00:00,2.546,-3.255,0.118263157894737
