start,duration,depth,peak,end,td.max.lf,td.min.lf,td.mean.lf,td.min.lf,td.mean.lf,td.max.lf
1901-01-10 12:00:00,9,0.38,0.12,1901-01-10 21:00:00,-0.495946507,-0.717839687,-0.5679506841,-0.717839687,-0.5679506841,-0.495946507
1901-01-11 07:00:00,25,1.12,0.09,1901-01-12 08:00:00,-0.153959107,-0.79628706,-0.500836770423077,-0.79628706,-0.500836770423077,-0.153959107
1901-01-24 21:00:00,19,0.48,0.06,1901-01-25 16:00:00,0.204653856,-0.724109831,-0.1147522044,-0.724109831,-0.1147522044,0.204653856
1901-01-30 09:00:00,11,0.28,0.03,1901-01-30 20:00:00,-0.803950952,-1.055701423,-0.906188521833333,-1.055701423,-0.906188521833333,-0.803950952
1901-02-03 18:00:00,17,0.77,0.18,1901-02-04 11:00:00,-0.692682031,-1.262901412,-0.917233282444444,-1.262901412,-0.917233282444444,-0.692682031
1901-02-09 08:00:00,6,0.12,0.04,1901-02-09 14:00:00,-1.345610128,-1.438823866,-1.37933405285714,-1.438823866,-1.37933405285714,-1.345610128
1901-03-04 17:00:00,9,0.1,0.05,1901-03-05 02:00:00,-1.098751839,-1.199873773,-1.1679101524,-1.199873773,-1.1679101524,-1.098751839
1901-03-09 08:00:00,12,0.25,0.05,1901-03-09 20:00:00,-1.148765105,-1.566115232,-1.30789500323077,-1.566115232,-1.30789500323077,-1.148765105
1901-03-10 20:00:00,14,1.33,0.37,1901-03-11 10:00:00,1.020339684,-0.732107169,0.267754146333333,-0.732107169,0.267754146333333,1.020339684
1901-03-20 17:00:00,17,1.19,0.2,1901-03-21 10:00:00,0.325655558,-0.046119046,0.209906807555556,-0.046119046,0.209906807555556,0.325655558
1901-03-25 18:00:00,8,0.11,0.05,1901-03-26 02:00:00,-0.215260168,-0.387635809,-0.318501250777778,-0.387635809,-0.318501250777778,-0.215260168
1901-03-26 13:00:00,10,0.19,0.07,1901-03-26 23:00:00,0.319847653,0.230868279,0.289810652818182,0.230868279,0.289810652818182,0.319847653
1901-04-02 22:00:00,33,1.83,0.27,1901-04-04 07:00:00,1.633651427,0.279951069,1.11838254579412,0.279951069,1.11838254579412,1.633651427
1901-04-06 05:00:00,14,0.41,0.1,1901-04-06 19:00:00,0.634664166,0.361620648,0.546442351866667,0.361620648,0.546442351866667,0.634664166
1901-04-15 15:00:00,10,0.13,0.03,1901-04-16 01:00:00,-0.445803645,-0.507377957,-0.488256507818182,-0.507377957,-0.488256507818182,-0.445803645
1901-04-20 08:00:00,22,0.87,0.23,1901-04-21 06:00:00,0.855419092,0.385841946,0.644094976347826,0.385841946,0.644094976347826,0.855419092
1901-04-24 01:00:00,27,1.2,0.22,1901-04-25 04:00:00,0.716991465,0.572786644,0.626635664607143,0.572786644,0.626635664607143,0.716991465
1901-04-25 10:00:00,5,0.1,0.04,1901-04-25 15:00:00,0.669542648,0.556738549,0.616506801333333,0.556738549,0.616506801333333,0.669542648
1901-05-03 00:00:00,3,0.21,0.12,1901-05-03 03:00:00,0.0318454,-0.213339387,-0.0880062195,-0.213339387,-0.0880062195,0.0318454
1901-05-09 04:00:00,7,0.36,0.15,1901-05-09 11:00:00,0.212410327,0.130669587,0.176077046125,0.130669587,0.176077046125,0.212410327
1901-05-10 02:00:00,17,1.31,0.47,1901-05-10 19:00:00,-0.013706639,-0.038822788,-0.0290481228333333,-0.038822788,-0.0290481228333333,-0.013706639
1901-05-11 15:00:00,7,0.39,0.24,1901-05-11 22:00:00,0.162364857,0.101323751,0.134609589625,0.101323751,0.134609589625,0.162364857
1901-05-13 02:00:00,3,0.11,0.06,1901-05-13 05:00:00,0.296999326,0.251987907,0.2757282655,0.251987907,0.2757282655,0.296999326
1901-05-18 04:00:00,3,0.2,0.14,1901-05-18 07:00:00,0.521238895,0.513950005,0.5187755445,0.513950005,0.5187755445,0.521238895
1901-05-22 19:00:00,3,0.14,0.09,1901-05-22 22:00:00,0.405183627,0.395738806,0.40165316125,0.395738806,0.40165316125,0.405183627
1901-05-24 22:00:00,5,0.2,0.09,1901-05-25 03:00:00,-0.321965079,-0.346357471,-0.3353416925,-0.346357471,-0.3353416925,-0.321965079
1901-05-26 14:00:00,15,0.24,0.09,1901-05-27 05:00:00,0.231683176,0.053593601,0.1447255158125,0.053593601,0.1447255158125,0.231683176
1901-05-27 12:00:00,5,0.23,0.08,1901-05-27 17:00:00,0.005794166,0.000887802,0.002832516,0.000887802,0.002832516,0.005794166
1901-05-29 07:00:00,16,0.36,0.15,1901-05-29 23:00:00,0.625833895,0.59521398,0.607450920235294,0.59521398,0.607450920235294,0.625833895
1901-05-31 09:00:00,5,0.13,0.05,1901-05-31 14:00:00,1.006605848,0.932593938,0.972478272833333,0.932593938,0.972478272833333,1.006605848
1901-06-07 12:00:00,5,0.47,0.32,1901-06-07 17:00:00,-0.119662815,-0.172174063,-0.147242348333333,-0.172174063,-0.147242348333333,-0.119662815
1901-06-15 05:00:00,10,0.27,0.09,1901-06-15 15:00:00,-0.1800498,-0.210408253,-0.198648382818182,-0.210408253,-0.198648382818182,-0.1800498
1901-06-21 13:00:00,9,0.24,0.12,1901-06-21 22:00:00,-0.071738092,-0.225832023,-0.1547366556,-0.225832023,-0.1547366556,-0.071738092
1901-07-04 14:00:00,8,1.02,0.54,1901-07-04 22:00:00,-0.253884925,-0.397301949,-0.323221176333333,-0.397301949,-0.323221176333333,-0.253884925
1901-07-06 19:00:00,4,0.57,0.36,1901-07-06 23:00:00,0.046771263,-0.003603744,0.0211062724,-0.003603744,0.0211062724,0.046771263
1901-07-07 21:00:00,3,0.46,0.37,1901-07-08 00:00:00,-0.024270968,-0.110114,-0.0670305215,-0.110114,-0.0670305215,-0.024270968
1901-07-11 19:00:00,4,0.23,0.12,1901-07-11 23:00:00,-0.120307198,-0.169112669,-0.1422100986,-0.169112669,-0.1422100986,-0.120307198
1901-07-13 14:00:00,12,0.24,0.09,1901-07-14 02:00:00,-0.107662335,-0.177770278,-0.139709805769231,-0.177770278,-0.139709805769231,-0.107662335
1901-07-14 13:00:00,2,0.15,0.11,1901-07-14 15:00:00,-0.078885291,-0.100427726,-0.0895122683333333,-0.100427726,-0.0895122683333333,-0.078885291
1901-07-17 19:00:00,5,0.63,0.24,1901-07-18 00:00:00,-0.266728169,-0.269296236,-0.267634433166667,-0.269296236,-0.267634433166667,-0.266728169
1901-07-25 20:00:00,3,0.88,0.38,1901-07-25 23:00:00,-0.049602602,-0.178411937,-0.113244543,-0.178411937,-0.113244543,-0.049602602
