Event,max,min,mean
2200,0.6954045,0.39309468,0.557835837307692
2201,0.906649169,0.823376894,0.870742810625
2202,0.474851425,0.462150849,0.4690208225
2203,0.081325779,-0.277312746,-0.0783952548666667
2204,-0.546085679,-0.567221367,-0.55681197
2205,-0.14480939,-0.165588481,-0.15629138475
2206,0.183565345,0.176767928,0.181589219454545
2207,0.267844877,0.251829613,0.259837245
2208,0.377953948,0.271842486,0.3280102106
2209,0.040847367,-0.033374623,0.00404627025
2210,0.212409135,0.200751276,0.206940887
2211,0.197301239,0.10848583,0.1545374134
2212,0.061554791,0.049799913,0.0556882845
2213,0.082147871,0.02786266,0.0561225908
2214,1.202426894,0.187636862,0.838204979263158
2215,0.502231898,0.477833997,0.49123659175
2216,0.446350684,0.428220667,0.4372856755
2217,0.237617273,0.177812309,0.2073960375
2218,-0.182381238,-0.217011664,-0.206624291444444
2219,0.008223184,-0.072753897,-0.032300728
2220,0.293974237,0.195042416,0.2483196687
2221,0.229272052,0.187926748,0.216254231375
2222,0.684033192,0.435043552,0.608846364133333
2223,0.192507472,-0.14105427,0.0465074695714286
2224,0.194745399,0.180587492,0.1876664455
2225,0.817749667,0.203877899,0.467417517178571
2226,4.866430097,0.51955752,2.97211538827273
2227,0.754032385,0.638379018,0.6932316635
2228,0.702396374,0.608015637,0.648811103
2229,0.3880346,0.090312095,0.2302799146
2230,-0.045953989,-0.087224138,-0.06609815175
2231,1.509578838,-0.234918805,0.601114518909091
2232,0.141827668,0.10414459,0.129462405428571
2233,-0.087409793,-0.155370662,-0.121640002
2234,-0.526252938,-0.610955429,-0.584656585083333
2235,0.250076631,0.167707378,0.215020784875
2236,0.903165088,0.285059803,0.651285420909091
2237,0.368267001,0.307213778,0.340857824
2238,0.129075122,0.097362471,0.111085458
2239,0.247051202,0.14214457,0.19351734425
2240,-0.792766653,-1.053655772,-0.916602574875
2241,0.751863687,0.056437436,0.404865514090909
2242,-0.272013108,-0.564077764,-0.429883722333333
2243,0.148106191,-0.048450478,0.0522531132352941
2244,0.139292216,-0.608121993,-0.152719984909091
2245,0.221430278,0.102653837,0.156083740913043
2246,0.482475531,-0.232578176,0.191155780904762
2247,0.377283636,0.146305783,0.273932108666667
2248,0.239523677,-0.130022531,0.136823282125
2249,-0.7987047,-0.981458611,-0.917720841384615
2250,0.435948735,-1.671495648,-0.4364907858125
2251,-0.602791803,-0.754364846,-0.66585771725
2252,-0.316624997,-2.022490745,-1.005157201
2253,-0.846431731,-1.173638482,-1.01204133736364
2254,0.414248926,0.194264742,0.3054959174
2255,-0.924888545,-0.956903594,-0.9343083708
2256,-0.109009023,-1.229060096,-0.570064980633333
2257,-0.447692552,-0.470220996,-0.45536231775
2258,-0.337030335,-0.874242856,-0.626776202266667
2259,0.427078581,-0.334842481,0.0294870442142857
2260,0.127445349,0.121387191,0.124774673
2261,0.491518311,0.416614834,0.4563226682
2262,1.211291848,1.128292923,1.18644537233333
2263,0.615532445,0.589224747,0.607153987285714
2264,0.249841688,0.224946831,0.240973097571429
2265,-0.018675557,-0.519356742,-0.256682681857143
2266,-0.531602047,-0.886441735,-0.704469947142857
2267,0.14253176,-0.682269453,-0.119176988
2268,-0.31952396,-0.374057667,-0.340544683333333
2269,0.053184105,-0.068520249,-0.0035881694
2270,0.114072593,0.087492437,0.101261736333333
2271,0.237641358,0.204111688,0.2208244896
2272,-0.440155738,-0.653462245,-0.584259003153846
2273,0.514361403,0.489808875,0.502845327333333
2274,1.841275712,0.193062074,1.32008074504
2275,-0.423153513,-0.44526028,-0.435980338
2276,-0.030664124,-0.030670133,-0.0306671285
2277,-0.656175554,-0.684410797,-0.6702931755
2278,0.382041937,0.360439303,0.373339123
2279,0.024790508,-0.034861422,-0.00304263516666667
2280,0.381650438,0.274417455,0.345856645181818
2281,0.014560272,0.01259955,0.013579911
2282,0.290081262,0.199033585,0.260508384857143
2283,-0.092542382,-0.15074256,-0.121642471
2284,-0.474022287,-0.499466491,-0.487075470666667
2285,-0.034498624,-0.262379747,-0.1617109428
2286,-0.039399062,-0.046902996,-0.043151029
2287,0.082104207,-0.01077689,0.036741265625
2288,-0.105644428,-0.11906391,-0.1124669224
2289,0.072116572,0.057308772,0.0650736013333333
2290,0.410450714,0.0578594,0.271230834285714
2291,-0.22505783,-0.263056609,-0.2437945098
2292,0.661757709,-0.173487887,0.17417678262069
2293,0.994192592,0.445037489,0.829745602619048
2294,0.835966425,0.817993904,0.82994837525
2295,0.422410315,0.405098206,0.413532433
2296,0.174499536,0.05263116,0.1300067083
2297,0.815045436,0.558981074,0.661726942521739
2298,-0.51456004,-0.811538351,-0.6157410139
2299,-0.079792429,-0.59473842,-0.303963024555556
2300,0.14922736,0.105148297,0.135494903166667
2301,-0.283716923,-0.791379011,-0.520723161181818
2302,-0.11734775,-0.657587965,-0.348936505545455
2303,0.518762695,0.107219654,0.23576542256
2304,0.764880193,0.669875289,0.7353125595
2305,1.008082305,0.164484412,0.670616692928571
2306,0.484130174,0.348928559,0.436591892
2307,-0.336659953,-0.91050756,-0.624871852
2308,0.685547514,0.118187193,0.511734260153846
2309,0.55280886,0.108191221,0.371154258818182
2310,0.821889934,0.422779357,0.674145215545455
2311,0.274213164,-1.267941768,-0.0646378194516129
2312,-0.470612022,-0.584094986,-0.510740928615385
2313,-0.022068419,-0.81010347,-0.374194895714286
2314,0.419122086,0.125410523,0.273456002454545
2315,-0.953898242,-1.195463666,-1.1210471412
2316,-0.653586226,-1.535284805,-1.07294397145833
2317,-0.201148259,-0.695283064,-0.35210024416
2318,0.020456393,-0.154787356,-0.0653120057142857
2319,0.110100692,-0.013173548,0.0513579673333333
2320,-0.096346125,-0.166387162,-0.1437751044
2321,0.763392978,0.278878954,0.589849709925
2322,1.239939453,0.602442076,0.92110729624
2323,0.441110896,0.337694916,0.405312645583333
2324,-0.144871373,-0.446017244,-0.2893697254
2325,0.344195995,0.343777639,0.343986817
2326,0.106503088,-0.098935294,0.00147241204166667
2327,-0.207331286,-0.249189148,-0.228472911333333
2328,0.017487774,0.006782039,0.0121349065
2329,0.3671485,0.325720869,0.353152778571429
2330,-0.065558366,-0.20657688,-0.156089442526316
2331,0.739693445,-0.068496668,0.297433826125
2332,0.97725577,0.868535359,0.9263666154
2333,0.399875833,0.337996448,0.3731688646
2334,0.170777736,0.13612297,0.153518896333333
2335,0.103183335,0.071598426,0.08769915
2336,0.831790303,0.794801522,0.81433857825
2337,0.699079679,0.663626038,0.676631248666667
2338,1.387843593,1.387401006,1.3876222995
2339,0.373280817,0.2220368,0.29885393
2340,0.124834859,0.088168383,0.10685419975
2341,0.104293561,0.032558854,0.06828091775
2342,-0.267660549,-0.274835366,-0.2712479575
2343,-0.283344444,-0.310026876,-0.291083010636364
2344,-0.367152301,-0.39318899,-0.3818299182
2345,0.06232529,0.022204157,0.046810367375
2346,0.012406918,0.004843715,0.00859046
2347,0.75076496,0.720489138,0.741313199428571
2348,0.278465949,0.248835421,0.264280882833333
2349,0.147466538,0.132334656,0.139900597
2350,0.152137048,-0.0568095,0.0407004528181818
2351,-0.456840736,-0.499906082,-0.4807755275
2352,-0.324645569,-0.420138646,-0.3816286163125
2353,0.825304962,0.068582473,0.585917427238095
2354,0.570482429,0.099804969,0.254859201153846
2355,0.161101007,0.051640406,0.104481016857143
2356,-0.127738298,-0.402092257,-0.2648360585
2357,-0.676540573,-0.856960656,-0.765461931545454
2358,-0.709021188,-0.905179972,-0.826114965222222
2359,-0.031673679,-0.198318924,-0.115360123428571
2360,-0.584459398,-1.146236558,-0.861861630363636
2361,0.27166299,0.017069989,0.191755157
2362,0.954420832,-0.093152585,0.3902829798
2363,0.352723256,-0.059121217,0.176768587
2364,0.226258507,0.211202691,0.217747886333333
2365,0.895793532,0.323882436,0.708799263333333
2366,-0.047379723,-0.188598159,-0.121032508
2367,0.832532293,0.558327144,0.704248091692308
2368,0.055055721,-0.538340728,-0.344775324307692
2369,0.224511884,0.072178198,0.145897991375
2370,0.757103049,0.63952744,0.728372621923077
2371,-0.476546279,-1.021315605,-0.710011334777778
2372,-0.123970109,-1.299882841,-0.760932141083333
2373,1.393638431,-0.387280959,0.72842124284
2374,0.440055339,0.407515939,0.42562710525
2375,-0.220631032,-0.668816706,-0.461774757076923
2376,1.067723636,-0.095913748,0.4714217861875
2377,0.061307517,-0.124257239,-0.00370870016666667
2378,-0.070819243,-0.131343633,-0.101678452333333
2379,0.368870135,0.002232139,0.260018718571429
2380,-2.662827903,-2.670919155,-2.668366881
2381,0.210834398,-0.630897644,-0.129717994538462
2382,-0.994914758,-1.084504003,-1.02344322107692
2383,-0.297935584,-0.550844916,-0.420279499444444
2384,0.222948458,-1.254146215,-0.650714142548387
2385,0.566875169,-0.335736571,0.221937030166667
2386,0.365141152,0.352525742,0.35983378175
2387,2.143347436,0.01291727,1.30591212477778
2388,2.437637416,2.265606931,2.35137143144444
2389,2.208333907,1.709078781,2.0256488419375
2390,2.928189905,2.837260199,2.89006294083333
2391,2.586588267,1.540194569,2.0941281046
2392,1.045775406,0.897756178,0.9819376203
2393,1.024557173,0.835805333,0.940499454555556
2394,0.855781525,0.340367561,0.695503382
2395,1.66136964,0.679367944,1.25623194630769
2396,0.236961474,-0.113479608,0.0909718848125
2397,0.599740218,0.430734861,0.510597893636364
2398,1.118345181,0.978301782,1.07261293538462
2399,-0.110558649,-0.234972094,-0.1388304641
2400,0.077844205,-0.443932155,-0.155662298625
2401,-0.3030601,-0.33041595,-0.316738025
2402,0.022837839,0.022061141,0.02243103825
2403,0.16466731,0.060423616,0.1143905332
2404,-0.195276282,-0.250864751,-0.217556168
2405,0.61325296,0.513469643,0.566753516142857
2406,0.347721323,0.331788252,0.3389784485
2407,0.5228268,0.130679125,0.337865396333333
2408,-0.315784231,-0.357388164,-0.334932687
2409,-0.119685917,-0.22850955,-0.1751751196
2410,0.080862698,-0.066275654,0.0122296933333333
2411,0.541537612,0.475115144,0.514025975875
2412,0.488116344,0.090285358,0.322685191538462
2413,-0.082413581,-0.104141745,-0.093101596
2414,0.06149319,-0.04417903,0.01116569675
2415,-0.292933947,-0.302742883,-0.297838415
2416,0.031881477,-0.052196851,-0.0100965402608696
2417,-0.444618037,-0.483382664,-0.464196161333333
2418,0.12370677,0.107509962,0.11700272325
2419,-0.308197448,-0.333743775,-0.320637235
2420,-0.196532511,-0.202533717,-0.199751038333333
2421,0.687957815,0.558270602,0.648792567111111
2422,-0.009595974,-0.02384442,-0.0125054633846154
2423,-0.862836058,-0.879797007,-0.8713165325
2424,-0.650406123,-1.239503898,-1.03434238247059
2425,0.574358688,0.362871574,0.479606376125
2426,0.162902549,-0.007879498,0.0770635654444444
2427,1.352568933,0.555436402,1.04517484252632
2428,0.021735632,-0.032563368,-0.005172833
2429,-0.157814142,-0.236141125,-0.201515557
2430,1.128878591,0.11886988,0.6874413368
2431,-0.800742114,-1.208604766,-1.0015422695
2432,0.230099371,-0.0656836,0.0943697875
2433,-0.773282585,-0.816317944,-0.7918429052
2434,0.771592748,-0.194310885,0.430875367428571
2435,0.034196099,-0.47178886,-0.12706222147619
2436,0.052839631,-0.203715912,-0.0920486425
2437,0.011713856,-0.3098052,-0.138420402
2438,2.03603794,0.372114988,1.3294968118
2439,0.346469839,0.172331148,0.297223203857143
2440,1.139180141,0.083872959,0.785487591695652
2441,-0.184882309,-0.285234024,-0.2217060315
2442,-0.294711978,-0.763039258,-0.555113358666667
2443,0.348983453,-0.017646136,0.176993234444444
2444,1.136305672,0.516806921,0.928481425538462
2445,-0.400806578,-0.509509646,-0.4556883332
2446,1.34491776,-0.29911739,0.74937280712
2447,0.292109533,0.036416664,0.175604405294118
2448,0.925948709,0.805215779,0.868463261857143
2449,0.976443774,0.918623353,0.953065737333333
2450,1.011496896,0.97100548,0.9987167482
2451,0.196418894,0.144950315,0.17038154425
2452,0.199569304,-0.166730126,-0.00281885093333333
2453,0.12456268,-0.167051135,-0.0136783525714286
2454,-0.517735052,-1.014220736,-0.792558322615385
2455,1.292475214,1.066367144,1.2259444587
2456,0.418103839,0.210480105,0.31600298925
2457,-0.264489279,-0.313802268,-0.289141157333333
2458,-0.944959062,-0.993833655,-0.966003428
2459,0.208798441,-0.333885191,-0.0243519613333333
2460,-1.013160511,-1.21842256,-1.1150809105
2461,0.280108198,0.141399762,0.236116848727273
2462,0.402477925,0.336171549,0.370024215
2463,1.189477422,0.676164761,1.027691079375
2464,0.79834995,0.6688843,0.76495929724
2465,0.081506878,0.035192527,0.0583497025
2466,0.468964291,-0.122704574,0.156182928041667
2467,0.671042053,0.626680734,0.6515637195
2468,2.465058882,1.957797003,2.27707121013043
2469,1.329834757,1.303296998,1.316631943
2470,0.390301961,0.358375577,0.374338769
2471,0.277100527,0.119844816,0.199225302285714
2472,0.050107396,0.037391392,0.0413377607777778
2473,0.059267338,-0.02415547,0.0257705166153846
2474,-0.105958414,-0.114653209,-0.11014222425
2475,0.256864826,0.118527206,0.188217147166667
2476,0.172339819,0.167653415,0.169996617
2477,0.001977624,-0.330566087,-0.237940466
2478,-0.229836828,-0.25118649,-0.240511659
2479,0.248914071,0.22909005,0.241238830230769
2480,0.088800382,-0.011874517,0.0384433133333333
2481,0.431355344,0.359694739,0.397682940153846
2482,0.503517054,0.458394308,0.489625078222222
2483,0.255280083,0.228277875,0.240998254142857
2484,0.790959705,0.558661218,0.683036718066667
2485,-0.023381281,-0.044547976,-0.030204657625
2486,0.107642655,-0.006200296,0.05112576225
2487,0.200383993,0.117562958,0.162649550636364
2488,-0.244634082,-0.27720756,-0.26017591175
2489,-0.437379248,-0.462620539,-0.44976972625
2490,-0.169640373,-0.214497126,-0.189922282375
2491,0.727462499,-0.250274512,0.413072900605634
2492,0.400480709,0.396955394,0.398667644
2493,-0.014823882,-0.159254733,-0.0869890495
2494,0.141003854,-0.191015881,-0.0455843542222222
2495,-0.320838087,-0.333173565,-0.324698004285714
2496,0.02313068,-0.059484421,-0.018305567
2497,-0.091406383,-0.426377794,-0.291692709833333
2498,0.254500633,0.162744156,0.218392513222222
2499,-0.163913741,-0.274103053,-0.190690149
2500,0.669964084,0.233661354,0.470492472157895
2501,1.511030629,1.08241323,1.30936508883333
2502,1.685217868,1.613929922,1.65482387125
2503,0.940399078,0.817372221,0.8677859808
2504,1.093962299,0.889310501,1.00599551985714
2505,1.998627559,0.403001658,1.4788608642069
2506,0.756510684,-0.415038137,0.107571051630435
2507,1.286736019,1.223793807,1.264175576
2508,0.336217789,-0.059657193,0.140893118375
2509,-0.306416932,-0.701250421,-0.499206172777778
2510,-0.643918179,-0.838968595,-0.7382871555
2511,0.31912771,0.211737271,0.248374836333333
2512,-0.074910017,-0.25577367,-0.158805631888889
2513,-0.561503052,-0.623307436,-0.605437509307692
2514,0.030047592,-0.036252447,0.0023695122
2515,-0.423093514,-0.457485346,-0.4380890335
2516,2.09694907,0.864931579,1.66768043108
2517,-0.239166154,-0.652728728,-0.443459409571429
2518,0.829030307,-0.203697516,0.49445418
2519,-0.00353335,-0.025498999,-0.0124812524166667
2520,0.580919787,0.571287981,0.577493734428571
2521,-0.567114564,-0.768046171,-0.671728969428571
2522,-0.15259872,-0.453108211,-0.299649287555556
2523,0.458002064,-0.656707692,-0.183537877380952
2524,0.449149792,0.393990831,0.4120855294
2525,0.55679188,0.496116276,0.5249628516
2526,0.7076512,0.31683829,0.456766261962963
2527,0.027314366,-0.115013896,-0.0406958248
2528,0.246216606,0.087700236,0.1750696936
2529,0.089836191,0.050897042,0.0711448373333333
2530,-0.288471219,-0.37997077,-0.3344490176
2531,0.478831854,0.014940382,0.300966579
2532,-0.262508473,-0.286869667,-0.274648544666667
2533,-0.224418372,-0.346462868,-0.285466393
2534,-0.083421346,-0.130861114,-0.108842704153846
2535,-0.015622671,-0.158809276,-0.0825126972857143
2536,-0.309000527,-0.332283208,-0.32255359175
2537,-0.174128847,-0.419336794,-0.28660078575
2538,-0.006511146,-0.066795874,-0.036729945
2539,0.011179501,-0.028651981,-0.008742923
2540,0.868490844,-0.291516475,0.28477526385
2541,0.561772214,0.451174926,0.510392694363636
2542,0.102107899,0.083437673,0.09561021
2543,0.210898648,0.206208257,0.208906612333333
2544,-0.179540439,-0.190516632,-0.1850285355
2545,-0.18484551,-0.207521293,-0.1971156435
2546,0.264412765,-0.058896398,0.0274731954571429
2547,0.323125508,0.318795865,0.3203219038
2548,1.706502687,0.892064884,1.47398801819231
2549,1.161974087,1.110856442,1.1372824754
2550,0.22497156,-0.039691785,0.0947847047
2551,0.004374208,0.00294668,0.003660444
2552,-0.0101002,-0.048395963,-0.0228030325384615
2553,-0.143651763,-0.160115964,-0.152130557333333
2554,0.39468771,0.360573932,0.377630821
2555,0.60391813,0.495633427,0.572102262916667
2556,0.517842209,0.416336905,0.475415784
2557,0.580743619,0.580217101,0.58048036
2558,-0.05110069,-0.075452616,-0.063091507
2559,-0.028856949,-0.032269747,-0.030563348
2560,1.010252008,0.027199268,0.3352496949
2561,0.211766984,0.13534286,0.173414371333333
2562,0.186998476,-0.056021421,0.0072755972
2563,0.022765068,-0.075517095,-0.0452127597333333
2564,-0.497431256,-0.646992252,-0.57382217225
2565,0.524861649,0.311875259,0.439738690428571
2566,0.74615704,-0.946790514,-0.0396236532962963
2567,0.134134522,0.121416731,0.128075126666667
2568,-0.073112027,-0.11426328,-0.0949766376666667
2569,-0.267201805,-0.610386058,-0.4385418582
2570,0.349562305,0.268955435,0.311102261666667
2571,0.29705961,0.242742026,0.270528845333333
2572,0.003874813,-0.464628583,-0.257831332384615
2573,-0.017111237,-1.065404729,-0.458922581
2574,-0.586223579,-0.855405406,-0.766329067117647
2575,0.399234635,0.228235909,0.343129031333333
2576,1.08213502,-0.168727478,0.482130202482759
2577,1.142219196,0.88034502,1.00125919975
2578,1.469041891,1.416102095,1.4515776338
2579,1.253085568,0.324209775,0.818911713
2580,-0.123405107,-1.015671607,-0.49068154475
2581,0.479188998,-0.180736359,0.172890979894737
2582,0.59572618,-1.403521608,-0.776924357344828
2583,1.243962295,0.766266064,1.072081447
2584,1.033998462,-0.105345658,0.329839537860465
2585,0.493746042,0.400581228,0.466545886
2586,0.925690961,-0.10364601,0.5419845008
2587,0.854166963,-0.447379733,0.288878585636364
2588,0.257994826,-0.068766432,0.103030059545455
2589,0.803799177,-0.621177456,0.1277507211875
2590,0.374197784,0.248495856,0.313517984
2591,0.709881748,0.67525875,0.6955547074
2592,0.496072621,0.408960964,0.460870287647059
2593,1.448495327,0.82842381,1.24684195558824
2594,1.156503218,0.590013799,0.986442499631579
2595,-0.171173043,-0.355101614,-0.23773848075
2596,0.18002837,0.133471404,0.156988101
2597,0.17565742,-0.107667911,-0.0231606875
2598,0.928402588,0.801933944,0.889803944133333
2599,0.995171359,0.906914222,0.968379147111111
2600,1.202227909,0.997468405,1.13384933321429
2601,0.392999838,0.323747748,0.376629616933333
2602,0.574483637,0.327509669,0.406620158428571
2603,0.635298324,0.610812838,0.62341197375
2604,0.509776376,0.182772553,0.359125394733333
2605,0.257590155,0.219130956,0.238667233333333
2606,-0.402704577,-0.441233503,-0.42196904
2607,0.119262551,0.118647974,0.118942123
2608,0.152242078,-0.126182694,0.0192527093
2609,-0.123963553,-0.154956808,-0.1394601805
2610,0.24316433,0.203214221,0.223699095333333
2611,0.145882875,0.098806304,0.122681879666667
2612,0.226681347,0.200266218,0.215972800428571
2613,0.237535483,0.079292467,0.156946092666667
2614,0.472038512,0.408058213,0.453829970944444
2615,0.101939315,0.078725762,0.0903325385
2616,0.354739495,0.165859408,0.273378826857143
2617,0.006010134,-0.014999488,-0.00459461
2618,-0.760566544,-0.765178125,-0.7628723345
2619,0.214567337,0.123218551,0.169644195
2620,0.164332993,0.135163,0.150433782571429
2621,0.174854547,0.161596233,0.16776123875
2622,0.393519681,0.384910083,0.3907006484
2623,0.268305613,0.261881594,0.2661459468
2624,-0.053233457,-0.09280074,-0.0727316123333333
2625,-0.104225503,-0.151912225,-0.128123467666667
2626,0.3699401,0.366430758,0.368185429
2627,0.298138293,0.240740551,0.2662427695
2628,1.504818406,0.879883958,1.32106560090476
2629,0.556454666,0.447736927,0.524031810133333
2630,0.186574051,0.031417892,0.0780600493125
2631,0.531504901,0.391434681,0.4721478195
2632,-0.467781184,-0.564767288,-0.5196358586
2633,0.571639861,0.552123756,0.5651059816
2634,0.024950124,0.014659361,0.0209049403333333
2635,0.525447533,0.523693206,0.524647619
2636,0.370011227,0.09275261,0.2416263891
2637,0.444959713,-0.301075851,8.43078124999648e-06
2638,0.356224852,0.259734061,0.3134171582
2639,-0.153627785,-0.481671129,-0.3129714695
