"start","duration","depth","peak","end","td.min.hf","td.mean.hf","td.max.hf"
1901-12-03 08:00:00,15,0.87,0.19,1901-12-03 23:00:00,-3.455,-0.7740625,1.043
1901-12-10 01:00:00,6,0.18,0.06,1901-12-10 07:00:00,-1.657,0.230571428571429,1.745
1901-12-14 22:00:00,9,1.13,0.39,1901-12-15 07:00:00,-1.155,1.2348,3.143
1901-12-17 09:00:00,10,0.13,0.03,1901-12-17 19:00:00,-0.656,1.46281818181818,3.543
1901-12-23 19:00:00,9,0.13,0.04,1901-12-24 04:00:00,-3.455,-0.4557,1.844
1901-12-26 16:00:00,16,0.89,0.12,1901-12-27 08:00:00,-3.255,-0.390941176470588,2.146
1901-12-28 21:00:00,38,3.26,0.34,1901-12-30 11:00:00,-3.054,0.870102564102564,4.045
1902-01-03 03:00:00,5,0.1,0.03,1902-01-03 08:00:00,-3.455,-1.83833333333333,0.446
1902-01-08 07:00:00,11,0.2,0.04,1902-01-08 18:00:00,-2.556,0.577666666666667,3.245
1902-01-19 03:00:00,2,0.1,0.05,1902-01-19 05:00:00,-3.255,-2.78766666666667,-2.454
1902-01-21 16:00:00,18,1.06,0.18,1902-01-22 10:00:00,-2.254,0.823421052631579,3.543
1902-01-26 14:00:00,25,0.58,0.07,1902-01-27 15:00:00,-2.654,0.179153846153846,2.844
1902-01-30 00:00:00,1,0.19,0.19,1902-01-30 01:00:00,-4.055,-3.7055,-3.356
1902-01-30 14:00:00,1,0.26,0.26,1902-01-30 15:00:00,-3.757,-3.0565,-2.356
1902-01-31 19:00:00,1,0.15,0.15,1902-01-31 20:00:00,1.043,1.043,1.043
1902-02-01 16:00:00,24,0.44,0.08,1902-02-02 16:00:00,-2.356,0.13632,2.644
1902-02-16 23:00:00,19,1.1,0.1,1902-02-17 18:00:00,-2.956,-0.94055,1.243
1902-02-21 03:00:00,22,1.69,0.16,1902-02-22 01:00:00,-3.757,-1.32569565217391,1.243
1902-02-22 10:00:00,13,0.32,0.07,1902-02-22 23:00:00,-1.355,0.601857142857143,2.844
1902-02-25 12:00:00,16,0.43,0.08,1902-02-26 04:00:00,-2.254,0.350411764705882,3.245
1902-02-28 08:00:00,9,1.4,1.11,1902-02-28 17:00:00,-0.256,1.705,4.446
1902-03-02 04:00:00,8,0.38,0.12,1902-03-02 12:00:00,1.644,2.93344444444444,4.045
1902-03-04 23:00:00,25,1.24,0.1,1902-03-06 00:00:00,-2.254,0.513538461538461,3.143
1902-03-08 16:00:00,17,0.41,0.06,1902-03-09 09:00:00,-2.956,-0.588888888888889,2.546
1902-03-16 19:00:00,15,0.48,0.23,1902-03-17 10:00:00,-1.155,1.3883125,3.245
1902-03-28 08:00:00,10,0.23,0.05,1902-03-28 18:00:00,-2.556,-0.0916363636363636,2.044
1902-03-29 00:00:00,17,0.73,0.19,1902-03-29 17:00:00,-2.454,0.778333333333333,2.946
1902-03-30 17:00:00,2,0.11,0.07,1902-03-30 19:00:00,2.044,2.244,2.444
1902-04-06 14:00:00,7,0.2,0.05,1902-04-06 21:00:00,-1.755,-0.143125,1.444
1902-04-08 03:00:00,16,1.46,0.22,1902-04-08 19:00:00,-2.854,0.526647058823529,3.245
1902-04-29 03:00:00,27,1.4,0.3,1902-04-30 06:00:00,-2.356,0.20875,2.644
1902-05-03 00:00:00,2,0.13,0.11,1902-05-03 02:00:00,-0.656,0.110333333333333,0.843
1902-05-20 07:00:00,3,0.32,0.16,1902-05-20 10:00:00,-3.054,-1.77975,0.046
1902-05-25 15:00:00,7,0.41,0.34,1902-05-25 22:00:00,-2.854,-0.330625,1.844
1902-05-26 21:00:00,17,1.14,0.17,1902-05-27 14:00:00,-3.255,-0.822055555555556,2.444
1902-06-07 13:00:00,7,0.11,0.08,1902-06-07 20:00:00,-2.156,0.40725,2.346
1902-06-16 18:00:00,6,0.33,0.13,1902-06-17 00:00:00,-2.254,0.959428571428571,2.644
1902-06-19 08:00:00,3,0.5,0.47,1902-06-19 11:00:00,-3.156,-1.1555,0.745
1902-06-21 05:00:00,11,1.43,0.48,1902-06-21 16:00:00,-2.356,0.1695,2.644
1902-06-25 21:00:00,6,1.97,1.03,1902-06-26 03:00:00,-1.755,-0.197714285714286,2.444
1902-06-29 08:00:00,9,1.26,0.3,1902-06-29 17:00:00,-2.956,-0.7054,1.946
1902-06-30 17:00:00,13,0.42,0.21,1902-07-01 06:00:00,-1.857,0.823285714285714,3.543
1902-07-03 12:00:00,7,0.81,0.59,1902-07-03 19:00:00,-2.956,-0.367875,2.546
1902-07-17 08:00:00,4,0.14,0.07,1902-07-17 12:00:00,-1.457,0.4638,1.644
